Code,Borough,Crime,LLW,Workless,PublicTransportAccessibility,Population
E09000002,Barking and Dagenham,14638,7000,15000,3,"184,300"
E09000003,Barnet,21549,16000,16000,3,"346,900"
E09000004,Bexley,11163,17000,10000,2.5,"229,800"
E09000005,Brent,23237,23000,19000,3.7,"308,800"
E09000006,Bromley,17243,22000,16000,2.7,"307,900"
E09000007,Camden,25390,24000,20000,5.6,"212,300"
E09000008,Croydon,25777,23000,22000,3.2,"361,700"
E09000009,Ealing,23684,20000,20000,3.3,"333,300"
E09000010,Enfield,19401,18000,23000,2.9,"304,000"
E09000011,Greenwich,20023,10000,17000,3.3,"252,100"
E09000012,Hackney,24933,9000,19000,4.8,"243,200"
E09000013,Hammersmith and Fulham,17629,13000,15000,4.6,"179,500"
E09000014,Haringey,23894,11000,21000,4.1,"252,000"
E09000015,Harrow,11309,19000,8000,2.8,"236,200"
E09000016,Havering,14680,13000,12000,2.5,"235,600"
E09000017,Hillingdon,19195,27000,14000,2.4,"272,400"
E09000018,Hounslow,19339,17000,10000,3,"252,200"
E09000019,Islington,23254,13000,16000,5.6,"201,300"
E09000020,Kensington and Chelsea,17206,14000,14000,5.8,"154,900"
E09000021,Kingston upon Thames,8739,15000,7000,2.8,"156,600"
E09000022,Lambeth,29787,16000,21000,5,"298,700"
E09000023,Lewisham,20654,9000,23000,3.9,"274,500"
E09000024,Merton,10973,10000,7000,3.4,"197,400"
E09000025,Newham,26306,13000,25000,3.8,"307,600"
E09000026,Redbridge,16963,11000,13000,3,"278,500"
E09000027,Richmond upon Thames,9780,8000,8000,3,"183,400"
E09000028,Southwark,27529,19000,26000,4.7,"284,100"
E09000029,Sutton,9102,18000,9000,2.8,"188,700"
E09000030,Tower Hamlets,26005,13000,19000,4.8,"250,500"
E09000031,Waltham Forest,17899,10000,17000,3.5,"254,000"
E09000032,Wandsworth,20809,13000,13000,4.2,"301,600"
E09000033,Westminster,42414,55000,23000,6.3,"217,400"
,,,,,,
,,,,,,
,,,,,,
