Code,code2,Borough,Income_Mean,Working_Households,Housing price
E09000001,1,City of London,117000,NA,541192
E09000002,2,Barking and Dagenham,22800,24000,180165
E09000003,3,Barnet,39200,49000,440755
E09000004,4,Bexley,28300,36000,226283
E09000005,5,Brent,27400,29000,360423
E09000006,6,Bromley,36400,60000,336236
E09000007,7,Camden,69300,37000,724250
E09000008,8,Croydon,29700,54000,256219
E09000009,9,Ealing,32000,50000,375143
E09000010,10,Enfield,30400,41000,285335
E09000011,11,Greenwich,31000,39000,296637
E09000012,12,Hackney,31200,45000,354522
E09000013,13,Hammersmith and Fulham,52700,34000,638126
E09000014,14,Haringey,34600,37000,411253
E09000015,15,Harrow,32400,31000,343717
E09000016,16,Havering,30400,41000,248856
E09000017,17,Hillingdon,30000,41000,288639
E09000018,18,Hounslow,32400,41000,363455
E09000019,19,Islington,47200,44000,507197
E09000020,20,Kensington and Chelsea,137000,25000,1290725
E09000021,21,Kingston upon Thames,38700,27000,364948
E09000022,22,Lambeth,35700,61000,377944
E09000023,23,Lewisham,29800,55000,267820
E09000024,24,Merton,43700,31000,437253
E09000025,25,Newham,22000,30000,214915
E09000026,26,Redbridge,30900,31000,294854
E09000027,27,Richmond upon Thames,57400,36000,570178
E09000028,28,Southwark,36500,56000,400980
E09000029,29,Sutton,31400,37000,267042
E09000030,30,Tower Hamlets,38200,40000,345026
E09000031,31,Waltham Forest,25300,46000,240234
E09000032,32,Wandsworth,53400,65000,508691
E09000033,33,Westminster,88200,41000,958412
